location,link
"Adani Brahma Samsara Vilasa, Sector 63, Gurgaon",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995
"Raheja Atlantis, Sector 31, Gurgaon",https://www.99acres.com/raheja-atlantis-sector-31-gurgaon-npxid-r12346
"CGHS Doordarshan Apartments, Sector 45, Gurgaon",https://www.99acres.com/cghs-doordarshan-apartments-sector-45-gurgaon-npxid-r29198
"Central Park Flower Valley, Sohna, Gurgaon",https://www.99acres.com/central-park-flower-valley-sector-33-sohna-gurgaon-npxid-r22052
"Silverglades The Melia, Sohna, Gurgaon",https://www.99acres.com/silverglades-the-melia-sohna-gurgaon-npxid-r26828
"Central Park Resorts, Sector 48, Gurgaon",https://www.99acres.com/central-park-resorts-sector-48-gurgaon-npxid-r6802
"ATS Tourmaline, Sector 109, Gurgaon",https://www.99acres.com/ats-tourmaline-sector-109-gurgaon-npxid-r7734
"ATS Kocoon, Sector 109, Gurgaon",https://www.99acres.com/ats-kocoon-sector-109-gurgaon-npxid-r24656
"Central Park 2 Bellevue, Sector 48, Gurgaon",https://www.99acres.com/central-park-2-bellevue-resale-in-sector-48-gurgaon-1010084-npffid
"CHD Avenue 71, Sector 71, Gurgaon",https://www.99acres.com/chd-avenue-71-sector-71-gurgaon-npxid-r847
"DLF The Primus, Sector 82, Gurgaon",https://www.99acres.com/dlf-the-primus-sector-82a-gurgaon-npxid-r4470
"Tata Primanti, Sector 72, Gurgaon",https://www.99acres.com/tata-primanti-sector-72-gurgaon-npxid-r1148
"Godrej Habitat, Sector 3, Gurgaon",https://www.99acres.com/godrej-habitat-sector-3-gurgaon-npxid-r326543
"Godrej Air, Sector 85, Gurgaon",https://www.99acres.com/godrej-air-sector-85-gurgaon-npxid-r320141
"Piedmont Taksila heights, Sector 37, Gurgaon",https://www.99acres.com/piedmont-taksila-heights-sector-37c-gurgaon-npxid-r3664
"M3M Polo Suites, Sector 65, Gurgaon",https://www.99acres.com/m3m-polo-suites-sector-65-gurgaon-npxid-r1242
"Anant Raj Estates, Sector 63, Gurgaon",https://www.99acres.com/anant-raj-estates-resale-in-sector-63a-gurgaon-7732-npffid
"Paras Dews, Sector 106, Gurgaon",https://www.99acres.com/paras-dews-sector-106-gurgaon-npxid-r28300
"Indiabulls Centrum Park, Sector 103, Gurgaon",https://www.99acres.com/indiabulls-centrum-park-sector-103-gurgaon-npxid-r461
"Unitech Fresco, Nirvana Country, Gurgaon",https://www.99acres.com/unitech-fresco-nirvana-country-gurgaon-npxid-r4
"Shree Vardhman Victoria, Sector 70, Gurgaon",https://www.99acres.com/shree-vardhman-victoria-resale-in-sector-70-gurgaon-42232-npffid
"Shree Vardhman Mantra, Sector 67, Gurgaon",https://www.99acres.com/shree-vardhman-mantra-sector-67-gurgaon-npxid-r28298
"SS The Leaf, Sector 85, Gurgaon",https://www.99acres.com/ss-the-leaf-sector-85-gurgaon-npxid-r5098
"Adani M2K Oyster Grande, Sector 102, Gurgaon",https://www.99acres.com/adani-m2k-oyster-grande-resale-in-sector-102-gurgaon-51214-npffid
"Godrej Oasis, Sector 88, Gurgaon",https://www.99acres.com/godrej-oasis-sector-88a-gurgaon-npxid-r28232
"Assotech Blith, Sector 99, Gurgaon",https://www.99acres.com/assotech-blith-resale-in-sector-99-gurgaon-7974-npffid
"Pareena Express Heights, Sector 99, Gurgaon",https://www.99acres.com/pareena-express-heights-sector-99-gurgaon-npxid-r38208
"Pareena Coban Residences, Sector 99, Gurgaon",https://www.99acres.com/pareena-coban-residences-sector-99a-gurgaon-npxid-r60435
"Bestech Park View Sanskruti, Sector 92, Gurgaon",https://www.99acres.com/bestech-park-view-sanskruti-sector-92-gurgaon-npxid-r4600
"Tulip Violet, Sector 69, Gurgaon",https://www.99acres.com/tulip-violet-sector-69-gurgaon-npxid-r1013
"DLF Richmond Park, DLF Phase 4, Gurgaon",https://www.99acres.com/dlf-richmond-park-dlf-phase-4-gurgaon-npxid-r28942
"Vatika Gurgaon 21, Sector 83, Gurgaon",https://www.99acres.com/vatika-gurgaon-21-sector-83-gurgaon-npxid-r1166
"Godrej Nature Plus, Sohna, Gurgaon",https://www.99acres.com/godrej-nature-plus-sector-33-sohna-gurgaon-npxid-r297055
"Bestech Park View Spa Next, Sector 67, Gurgaon",https://www.99acres.com/bestech-park-view-spa-next-sector-67-gurgaon-npxid-r23724
"Tulip Ivory, Sector 70, Gurgaon",https://www.99acres.com/tulip-ivory-sector-70-gurgaon-npxid-r35152
"Tulip Yellow, Sector 69, Gurgaon",https://www.99acres.com/tulip-yellow-sector-69-gurgaon-npxid-r344503
"Suncity Platinum Towers, MG Road, Gurgaon",https://www.99acres.com/suncity-platinum-towers-mg-road-gurgaon-npxid-r308091
"Bestech Park View City 2, Sector 49, Gurgaon",https://www.99acres.com/bestech-park-view-city-2-sector-49-gurgaon-npxid-r12230
"Mahindra Luminare, Sector 59, Gurgaon",https://www.99acres.com/mahindra-luminare-sector-59-gurgaon-npxid-r62235
"Conscient Elevate, Sector 59, Gurgaon",https://www.99acres.com/conscient-elevate-sector-59-gurgaon-npxid-r334015
"Bestech Altura, Sector 79, Gurgaon",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010
"Mapsko Casa Bella, Sector 82, Gurgaon",https://www.99acres.com/mapsko-casa-bella-sector-82-gurgaon-npxid-r158
"Breez Global Heights 89, Sector 89, Gurgaon",https://www.99acres.com/breez-global-heights-89-sector-89-gurgaon-npxid-r389823
"BPTP Terra, Sector 37, Gurgaon",https://www.99acres.com/bptp-terra-sector-37d-gurgaon-npxid-r5360
"AIPL Zen Residences, Sector 70, Gurgaon",https://www.99acres.com/aipl-zen-residences-resale-in-sector-70a-gurgaon-376254-npffid
"BPTP Park Serene, Sector 37, Gurgaon",https://www.99acres.com/bptp-park-serene-sector-37d-gurgaon-npxid-r128
"Breez Global Heights, Sohna, Gurgaon",https://www.99acres.com/breez-global-heights-sohna-gurgaon-npxid-r124857
"GPL Eden Heights, Sector 70, Gurgaon",https://www.99acres.com/gpl-eden-heights-sector-70-gurgaon-npxid-r27616
"Spaze Privy AT4, Sector 84, Gurgaon",https://www.99acres.com/spaze-privy-at4-resale-in-sector-84-gurgaon-43728-npffid
"DLF New Town Heights 2, Sector 86, Gurgaon",https://www.99acres.com/dlf-new-town-heights-2-sector-86-gurgaon-npxid-r23690
"Emaar Urban Oasis, Sector 62, Gurgaon",https://www.99acres.com/emaar-urban-oasis-sector-62-gurgaon-npxid-r411431
